[MAIN        ] Simulation started.
[34145055 ms][F1-DEPT     ] Produced P1. Storage: 6/10 [34145055 ms]
[34145158 ms][F1-DEPT     ] Produced P1. Storage: 7/10 [34145158 ms]
[34145259 ms][F1-DEPT     ] Produced P1. Storage: 8/10 [34145259 ms]
[34145283 ms][F3-DPT2     ] Produced P3 unit 43 (consumed 2 P1 and 1 P2) [34145283 ms]
[34145283 ms][F3-DPT1     ] Produced P3 unit 44 (consumed 2 P1 and 1 P2) [34145283 ms]
[34145360 ms][F1-DEPT     ] Produced P1. Storage: 9/10 [34145360 ms]
[34145431 ms][F2-DEPT     ] Produced P2. Storage: 2/5 [34145431 ms]
[34145431 ms][TRUCK2      ] Loaded 2 P2. Travelling to F3... [34145431 ms]
[34145461 ms][F1-DEPT     ] Produced P1. Storage: 10/10 [34145461 ms]
[34145683 ms][TRUCK2      ] Unloaded 2 P2 to F3. Returning to F2... [34145683 ms]
[34145831 ms][F2-DEPT     ] Produced P2. Storage: 1/5 [34145831 ms]
[34146083 ms][F3-DPT2     ] Produced P3 unit 45 (consumed 2 P1 and 1 P2) [34146083 ms]
[34146083 ms][F3-DPT1     ] Produced P3 unit 46 (consumed 2 P1 and 1 P2) [34146083 ms]
[34146083 ms][SHIP        ] Unloaded 5 P1 to F3. Returning to F1... [34146083 ms]
[34146232 ms][F2-DEPT     ] Produced P2. Storage: 2/5 [34146232 ms]
[34146232 ms][TRUCK4      ] Loaded 2 P2. Travelling to F3... [34146232 ms]
[34146335 ms][SHIP        ] Loaded 5 P1. Travelling to F3... [34146335 ms]
[34146336 ms][SHIP        ] Waiting to unload at F3. F3 P1: 6/10 [34146336 ms]
[34146336 ms][F1-DEPT     ] Produced P1. Storage: 6/10 [34146336 ms]
[34146437 ms][F1-DEPT     ] Produced P1. Storage: 7/10 [34146437 ms]
[34146483 ms][TRUCK4      ] Unloaded 2 P2 to F3. Returning to F2... [34146483 ms]
[34146538 ms][F1-DEPT     ] Produced P1. Storage: 8/10 [34146538 ms]
[34146633 ms][F2-DEPT     ] Produced P2. Storage: 1/5 [34146633 ms]
[34146638 ms][F1-DEPT     ] Produced P1. Storage: 9/10 [34146638 ms]
[34146739 ms][F1-DEPT     ] Produced P1. Storage: 10/10 [34146739 ms]
[34146883 ms][F3-DPT1     ] Produced P3 unit 47 (consumed 2 P1 and 1 P2) [34146883 ms]
[34146883 ms][F3-DPT2     ] Produced P3 unit 48 (consumed 2 P1 and 1 P2) [34146883 ms]
[34146884 ms][SHIP        ] Unloaded 5 P1 to F3. Returning to F1... [34146884 ms]
[SCENARIO    ] F3 Dept 1 resumed.
[34147034 ms][F2-DEPT     ] Produced P2. Storage: 2/5 [34147034 ms]
[34147034 ms][TRUCK1      ] Loaded 2 P2. Travelling to F3... [34147034 ms]
[34147135 ms][SHIP        ] Loaded 5 P1. Travelling to F3... [34147135 ms]
[34147135 ms][SHIP        ] Waiting to unload at F3. F3 P1: 7/10 [34147135 ms]
[34147135 ms][F1-DEPT     ] Produced P1. Storage: 6/10 [34147135 ms]
[34147239 ms][F1-DEPT     ] Produced P1. Storage: 7/10 [34147239 ms]
[34147287 ms][TRUCK1      ] Unloaded 2 P2 to F3. Returning to F2... [34147287 ms]
[34147341 ms][F1-DEPT     ] Produced P1. Storage: 8/10 [34147341 ms]
[34147435 ms][F2-DEPT     ] Produced P2. Storage: 1/5 [34147435 ms]
[34147441 ms][F1-DEPT     ] Produced P1. Storage: 9/10 [34147441 ms]
[34147543 ms][F1-DEPT     ] Produced P1. Storage: 10/10 [34147543 ms]
[34147687 ms][F3-DPT1     ] Produced P3 unit 49 (consumed 2 P1 and 1 P2) [34147687 ms]
[34147688 ms][F3-DPT2     ] Produced P3 unit 50 (consumed 2 P1 and 1 P2) [34147688 ms]
[34147688 ms][SHIP        ] Unloaded 5 P1 to F3. Returning to F1... [34147688 ms]
[34147836 ms][F2-DEPT     ] Produced P2. Storage: 2/5 [34147836 ms]
[34147836 ms][TRUCK5      ] Loaded 2 P2. Travelling to F3... [34147836 ms]
[34147940 ms][SHIP        ] Loaded 5 P1. Travelling to F3... [34147940 ms]
[34147941 ms][SHIP        ] Waiting to unload at F3. F3 P1: 8/10 [34147941 ms]
[34147940 ms][F1-DEPT     ] Produced P1. Storage: 6/10 [34147940 ms]
[34148042 ms][F1-DEPT     ] Produced P1. Storage: 7/10 [34148042 ms]
[34148086 ms][TRUCK5      ] Unloaded 2 P2 to F3. Returning to F2... [34148086 ms]
[34148144 ms][F1-DEPT     ] Produced P1. Storage: 8/10 [34148144 ms]
[34148239 ms][F2-DEPT     ] Produced P2. Storage: 1/5 [34148239 ms]
[34148245 ms][F1-DEPT     ] Produced P1. Storage: 9/10 [34148245 ms]
[34148346 ms][F1-DEPT     ] Produced P1. Storage: 10/10 [34148346 ms]
[34148488 ms][F3-DPT1     ] Produced P3 unit 51 (consumed 2 P1 and 1 P2) [34148488 ms]
[34148488 ms][F3-DPT2     ] Produced P3 unit 52 (consumed 2 P1 and 1 P2) [34148488 ms]
[34148489 ms][SHIP        ] Unloaded 5 P1 to F3. Returning to F1... [34148489 ms]
[34148640 ms][F2-DEPT     ] Produced P2. Storage: 2/5 [34148640 ms]
[34148640 ms][TRUCK4      ] Loaded 2 P2. Travelling to F3... [34148640 ms]
[34148739 ms][SHIP        ] Loaded 5 P1. Travelling to F3... [34148739 ms]
[34148739 ms][SHIP        ] Waiting to unload at F3. F3 P1: 9/10 [34148739 ms]
[34148739 ms][F1-DEPT     ] Produced P1. Storage: 6/10 [34148739 ms]
[34148839 ms][F1-DEPT     ] Produced P1. Storage: 7/10 [34148839 ms]
[34148891 ms][TRUCK4      ] Unloaded 2 P2 to F3. Returning to F2... [34148891 ms]
[34148940 ms][F1-DEPT     ] Produced P1. Storage: 8/10 [34148940 ms]
[34149040 ms][F2-DEPT     ] Produced P2. Storage: 1/5 [34149040 ms]
[34149040 ms][F1-DEPT     ] Produced P1. Storage: 9/10 [34149040 ms]
[34149142 ms][F1-DEPT     ] Produced P1. Storage: 10/10 [34149142 ms]
[34149292 ms][F3-DPT1     ] Produced P3 unit 53 (consumed 2 P1 and 1 P2) [34149292 ms]
[34149293 ms][F3-DPT2     ] Produced P3 unit 54 (consumed 2 P1 and 1 P2) [34149293 ms]
[34149441 ms][F2-DEPT     ] Produced P2. Storage: 2/5 [34149441 ms]
[34149442 ms][TRUCK5      ] Loaded 2 P2. Travelling to F3... [34149442 ms]
[34149692 ms][TRUCK5      ] Unloaded 2 P2 to F3. Returning to F2... [34149692 ms]
[34149842 ms][F2-DEPT     ] Produced P2. Storage: 1/5 [34149842 ms]
[34150092 ms][F3-DPT1     ] Produced P3 unit 55 (consumed 2 P1 and 1 P2) [34150092 ms]
[34150092 ms][F3-DPT2     ] Produced P3 unit 56 (consumed 2 P1 and 1 P2) [34150092 ms]
[34150092 ms][SHIP        ] Unloaded 5 P1 to F3. Returning to F1... [34150092 ms]
[34150243 ms][F2-DEPT     ] Produced P2. Storage: 2/5 [34150243 ms]
[34150243 ms][TRUCK4      ] Loaded 2 P2. Travelling to F3... [34150243 ms]
[34150344 ms][SHIP        ] Loaded 5 P1. Travelling to F3... [34150344 ms]
[34150344 ms][SHIP        ] Waiting to unload at F3. F3 P1: 6/10 [34150344 ms]
[34150344 ms][F1-DEPT     ] Produced P1. Storage: 6/10 [34150344 ms]
[34150446 ms][F1-DEPT     ] Produced P1. Storage: 7/10 [34150446 ms]
[34150494 ms][TRUCK4      ] Unloaded 2 P2 to F3. Returning to F2... [34150494 ms]
[34150546 ms][F1-DEPT     ] Produced P1. Storage: 8/10 [34150546 ms]
[34150644 ms][F2-DEPT     ] Produced P2. Storage: 1/5 [34150644 ms]
[34150647 ms][F1-DEPT     ] Produced P1. Storage: 9/10 [34150647 ms]
[34150750 ms][F1-DEPT     ] Produced P1. Storage: 10/10 [34150750 ms]
[34150894 ms][F3-DPT2     ] Produced P3 unit 57 (consumed 2 P1 and 1 P2) [34150894 ms]
[34150894 ms][SHIP        ] Unloaded 5 P1 to F3. Returning to F1... [34150894 ms]
[34150894 ms][F3-DPT1     ] Produced P3 unit 58 (consumed 2 P1 and 1 P2) [34150894 ms]
[34151045 ms][F2-DEPT     ] Produced P2. Storage: 2/5 [34151045 ms]
[34151046 ms][TRUCK4      ] Loaded 2 P2. Travelling to F3... [34151046 ms]
[34151145 ms][SHIP        ] Loaded 5 P1. Travelling to F3... [34151145 ms]
[34151145 ms][SHIP        ] Waiting to unload at F3. F3 P1: 7/10 [34151145 ms]
[34151145 ms][F1-DEPT     ] Produced P1. Storage: 6/10 [34151145 ms]
[34151247 ms][F1-DEPT     ] Produced P1. Storage: 7/10 [34151247 ms]
[34151296 ms][TRUCK4      ] Unloaded 2 P2 to F3. Returning to F2... [34151296 ms]
[34151348 ms][F1-DEPT     ] Produced P1. Storage: 8/10 [34151348 ms]
[34151446 ms][F2-DEPT     ] Produced P2. Storage: 1/5 [34151446 ms]
[34151448 ms][F1-DEPT     ] Produced P1. Storage: 9/10 [34151448 ms]
[34151549 ms][F1-DEPT     ] Produced P1. Storage: 10/10 [34151549 ms]
[34151696 ms][F3-DPT2     ] Produced P3 unit 59 (consumed 2 P1 and 1 P2) [34151696 ms]
[34151697 ms][F3-DPT1     ] Produced P3 unit 60 (consumed 2 P1 and 1 P2) [34151697 ms]
[34151697 ms][SHIP        ] Unloaded 5 P1 to F3. Returning to F1... [34151697 ms]
[34151847 ms][F2-DEPT     ] Produced P2. Storage: 2/5 [34151847 ms]
[34151847 ms][TRUCK1      ] Loaded 2 P2. Travelling to F3... [34151847 ms]
[34151947 ms][SHIP        ] Loaded 5 P1. Travelling to F3... [34151947 ms]
[34151947 ms][F1-DEPT     ] Produced P1. Storage: 6/10 [34151947 ms]
[34151948 ms][SHIP        ] Waiting to unload at F3. F3 P1: 8/10 [34151948 ms]
[MAIN        ] Stopping simulation...
[34152198 ms][SHIP        ] Unloaded 5 P1 to F3. Returning to F1... [34152198 ms]
